WWDC stands for ‘wow what dank continuity’ and other TC news,https://techcrunch.com/2022/06/12/wwdc-stands-for-wow-what-dank-continuity-and-other-tc-news/,"On a very special episode of The TechCrunch Podcast this week, I’m joined by Apple Senior Director of Platform Product Marketing Kurt Knight, who talks us through some of the big updates Apple a"
Investors show Latin American fintech startups the money,https://techcrunch.com/2022/06/12/investors-continue-to-show-latam-fintechs-the-money/,"Welcome to The Interchange, a take on this week’s fintech news and trends. To get this in your inbox, subscribe here. Greetings from Austin, Texas, where the temps have been over 100 degrees for da"
Zendesk punished by investors after vowing to remain independent,https://techcrunch.com/2022/06/12/zendesk-punished-by-investors-after-vowing-to-remain-independent/,"Does the spurned $17 billion offer from earlier this year appear more attractive in light of the current downturn? Sure, but enough to put Zendesk's decision to decline in doubt? Let’s find out."
Here’s why climate tech may avoid repeating clean tech’s failures,https://techcrunch.com/2022/06/12/heres-why-climate-tech-may-avoid-repeating-clean-techs-failures/,Climate tech is more than just a rebrand of clean tech — it offers founders and investors new tools to make profits and slash carbon.
Apple’s big week was not without its flaws,https://techcrunch.com/2022/06/11/apples-big-week-was-not-without-its-flaws/,"Hi, friends! Welcome back to Week In Review, the newsletter where we recap some of the top stories to cross TechCrunch dot com this week. The most read story this week was . . . well, everything that"
"This Week in Apps, Apple WWDC review: Blurred lines, new APIs and a brand-new Lock Screen",https://techcrunch.com/2022/06/11/this-week-in-apps-apple-wwdc-review-blurred-lines-new-apis-and-a-brand-new-lock-screen/,"Welcome back to This Week in Apps, the weekly TechCrunch series that recaps the latest in mobile OS news, mobile applications and the overall app economy. The app industry continues to grow, with a re"
"As startup layoffs continue, some perspective",https://techcrunch.com/2022/06/11/startup-layoffs-continue-2022-questions-we-have/,"Welcome to Startups Weekly, a fresh human-first take on this week’s startup news and trends. To get this in your inbox, subscribe here. Per Layoffs.fyi, a layoff tracker, over 16,000 tech workers lo"
Andreessen Horowitz’s Sriram Krishnan on crypto social networking,https://techcrunch.com/2022/06/11/andreessen-horowitzs-sriram-krishnan-on-crypto-social-networking/,"Web3 has plenty of money going for it — well, yes quite a bit less than a few months ago — but it’s still hard to argue that mainstream consumers have lined up to embrace web3 intern"
Why some startups don’t want to be called that,https://techcrunch.com/2022/06/11/why-some-startups-dont-want-to-be-called-that/,"""We're not a startup, we're a scaleup."" Why would a tech company say that? Let's explore."
"Apple enters the BNPL market as regulation, competition intensify",https://techcrunch.com/2022/06/11/apple-enters-the-bnpl-market-as-regulation-competition-intensify/,How will all of these BNPL-focused providers fare with Apple pounding its way into their market?
The Winklevoss twins rock on,https://techcrunch.com/2022/06/11/the-winklevoss-twins-rock-on/,"Welcome back to Chain Reaction. Last week, we talked about an arrest in the crypto world that had investors sweating. This week, we’re talking about rocking through the general malaise of a cryp"
QuantumScape loses manufacturing chief over management style mismatch,https://techcrunch.com/2022/06/10/quantumscape-manufacturing-chief-leaves/,"Celina Mikolajczak, who has held senior roles at Tesla and Panasonic, resigned from QuantumScape less than a year after taking the chief manufacturing officer position at the solid-state battery compa"
"Wow, Facebook really knows how to give someone a send-off!",https://techcrunch.com/2022/06/10/wow-facebook-really-knows-how-to-give-someone-a-send-off/,"So much for that touching goodbye post to Sheryl Sandberg that Mark Zuckerberg posted just 9 days ago, when after a 14-year run at Facebook — now Meta Platforms — Sandberg said she was resigning f"
A 7-step method for running effective pitch meetings,https://techcrunch.com/2022/06/10/a-7-step-method-for-running-effective-pitch-meetings/,"A founder with two exits shares his seven-step method for managing investor meetings, including tips for following up on promising leads."
"Daily Crunch: Apple’s M1 chips have an ‘unpatchable’ hardware vulnerability, say MIT researchers",https://techcrunch.com/2022/06/10/daily-crunch-apples-m1-chips-have-an-unpatchable-hardware-vulnerability-say-mit-researchers/,"Hello, friends, and welcome to Daily Crunch, bringing you the most important startup, tech and venture capital news in a single package."
How to use human-centered AI with Forethought and NEA,https://techcrunch.com/2022/06/10/how-to-use-human-centered-ai-with-forethought-and-nea/,"Deon Nicholas is the CEO and co-founder of Forethought, the AI company whose mission is to transform customer experiences with human-centered AI. Forethought has raised over $100 million in venture ca"
The first US crypto rewards credit card on the American Express network is here,https://techcrunch.com/2022/06/10/american-express-us-crypto-rewards-credit-card/,"Credit card companies are trying to sweeten the perks they offer their customers, and American Express is doing just that through a new partnership with crypto wealth management platform and wallet pr"
"Charm Therapeutics applies AI to complex protein interactions, locking down $50M A round",https://techcrunch.com/2022/06/10/charm-therapeutics-applies-ai-to-complex-protein-interactions-locking-down-50m-a-round/,The world of AI-powered drug discovery keeps expanding as the capabilities of machine learning grow. One approach that seemed unthinkable just a few years ago is simulating the complicated interplays
"TechCrunch+ roundup: Growth marketing survey, VC TikTok, fundraising amid a downturn",https://techcrunch.com/2022/06/10/techcrunch-roundup-growth-marketing-survey-vc-tiktok-fundraising-amid-a-downturn/,"If your name doesn’t appear on the team slide of your company’s pitch deck, this is a time to be cautious: Update your resume, dial back your vacation plans and start adding to your rainy day fund"
Here’s the complete agenda for next week’s TC Sessions: Climate 2022,https://techcrunch.com/2022/06/10/heres-the-complete-agenda-for-next-tuesdays-tc-sessions-climate-2022/,"TC Sessions: Climate, in partnership with the Extreme Tech Challenge 2022 Global Finals, is our first event dedicated to the climate crisis. And our agenda is complete!  Leading scientists, entrepren"
